number,state_name,state_polarity,state_subjectivity,color
1,'Alabama',0.03286970734744706,0.38052436876923174,red
2,'Alaska',0.07059647355089194,0.31393217422440006,red
3,'Arizona',0.1306993630622662,0.4036417593756303,red
4,'Arkansas',0.09687861325720176,0.30743629377002585,red
5,'California',0.00823400632499272,0.27754224501248315,blue
6,'Colorado',0.09485743671865163,0.36187664477687326,blue
7,'Connecticut',0.11285823799216656,0.3022559781488353,blue
8,'Delaware',0.04992382652157087,0.28938442335998715,blue
9,'Florida',0.01323001424113991,0.37091947416554727,red
10,'Georgia',-0.005479443143377567,0.36510083268279986,red
11,'Hawaii',0.07457460215817774,0.27603099903971984,blue
12,'Idaho',0.08556198678966537,0.35711794818937675,red
13,‘Illinois',0.08081220207955424,0.3413317941936195,blue
14,'Indiana',0.05463424267303578,0.3203940351102706,red
15,'Iowa',0.06825508832565284,0.2834576612903225,red
16,'Kansas',0.09753107835265096,0.33163795937485446,red
17,'Kentucky',0.08048174259602835,0.30264464696091686,red
18,'Louisiana',0.03682037797803103,0.3339753047972434,red
19,'Maine',0.06960464491806675,0.32864414873792913,purple
20,'Maryland',0.02437863860277653,0.18949770695460344,blue
21,'Massachusetts',-0.0045347222222222264,0.33181272546897556,blue
22,'Michigan',0.10012163576482179,0.38547672727483967,red
23,'Minnesota',0.035119047619047626,0.34984126984126973,blue
24,'Mississippi',0.04482085976240653,0.3713463400109084,red
25,'Missouri',0.11865477533695624,0.3605249109637409,red
26,'Montana',0.10320666584659118,0.3140049238696626,red
27,'Nebraska',0.060689893117218695,0.2376828361130686,red
28,'Nevada',0.13889980356221238,0.31784550472506673,blue
29,'New Hampshire',0.1196050316917252,0.37763439567203,blue
30,'New Jersey',0.13396149625022868,0.2913442015730747,blue
31,'North Carolina',0.1326218820861678,0.31459750566893413,red
32,'New Mexico',0.08055046805046805,0.3174293421003948,blue
33,'New York',0.10162615345181135,0.34694175585622977,blue
34,'North Dakota',0.0776534271284271,0.3447991580179079,red
35,'Ohio',0.0758874284958996,0.2846286681255691,red
36,'Oklahoma',0.01756756756756756,0.30578078078078075,red
37,'Oregon',0.08113035386330839,0.32569866707366707,blue
38,'Pennsylvania',0.0714910604555212,0.34667730372387234,red
39,‘Rhode Island',0.08530764813597091,0.3617332057007688,blue
40,'South Carolina',0.1220194492480015,0.35485127665255034,red
41,'South Dakota',0.1114381956723505,0.32425947780701314,red
42,'Tennessee',0.15821808671095514,0.3640707975341003,red
43,’Texas',0.02208662984525053,0.2501082251082251,red
44,'Utah',0.1427738499757886,0.38394944565098027,red
45,'Vermont',0.11450979906337048,0.35023577282505847,blue
46,'Virginia',0.0700900998558329,0.34818018280449126,blue
47,'Washington',0.07292904258098225,0.3368046070309002,blue
48,'West Virginia',0.07061944715976975,0.34327872858921266,red
49,'Wisconsin',0.10724590224590225,0.2850608303733304,red
50,'Wyoming',0.03968010365474778,0.3880769355623195,red
